time(ms),power(W)
1746139320000,3817451
1746139440000,3881842
1746139560000,3926463
1746139680000,3891026
1746139800000,4072119
1746139920000,3944227
1746140040000,3944134
1746140160000,2646513
1746140280000,1649658
1746140400000,3969520
1746140520000,2960749
1746140640000,3995600
1746140760000,3962429
1746140880000,4056189
1746141000000,3986067
1746141120000,4022180
1746141240000,3277555
1746141360000,3308148
1746141480000,3985015
1746141600000,3010222
1746141720000,3988465
1746141840000,3029927
1746141960000,3993547
1746142080000,4324216
1746142200000,4012424
1746142320000,3322525
1746142440000,4140875
1746142560000,4107343
1746142680000,4008054
1746142800000,4044853
1746142920000,4106666
1746143040000,4017563
1746143160000,2707447
1746143280000,4027602
1746143400000,3983715
1746143520000,2671029
1746143640000,2981222
1746143760000,3968848
1746143880000,3990606
1746144000000,3870429
1746144120000,3917221
1746144240000,3932917
1746144360000,3923057
1746144480000,3929574
1746144600000,3267636
1746144720000,3893733
1746144840000,3856359
1746144960000,3887065
1746145080000,3808701
1746145200000,3835344
1746145320000,2970685
1746145440000,3883262
1746145560000,3988238
1746145680000,2228504
1746145800000,3880906
1746145920000,2926516
1746146040000,2968774
1746146160000,3895950
1746146280000,3890204
1746146400000,3178418
1746146520000,3176713
1746146640000,3809420
1746146760000,3846593
1746146880000,3847359
1746147000000,3869326
1746147120000,4125637
1746147240000,3826410
1746147360000,3797642
1746147480000,2511480
1746147600000,3746404
1746147720000,3831271
1746147840000,3851280
1746147960000,3135474
1746148080000,3781103
1746148200000,3083348
1746148320000,3750003
1746148440000,3815608
1746148560000,3802102
1746148680000,3839492
1746148800000,3826488
1746148920000,3850084
1746149040000,3849002
1746149160000,2881516
1746149280000,3881464
1746149400000,3828102
1746149520000,3824417
1746149640000,4265220
1746149760000,3967948
1746149880000,4047915
1746150000000,4042575
1746150120000,4072900
1746150240000,4146505
1746150360000,4097497
1746150480000,4013068
1746150600000,3080415
1746150720000,3155984
1746150840000,4027550
1746150960000,4045297
1746151080000,3981128
1746151200000,3945203
1746151320000,4003892
1746151440000,3232715
1746151560000,3959280
1746151680000,3040052
1746151800000,4110526
1746151920000,4087533
1746152040000,3042671
1746152160000,3054646
1746152280000,4140453
1746152400000,4117431
1746152520000,4110115
1746152640000,4176555
1746152760000,4162296
1746152880000,4140494
1746153000000,4156846
1746153120000,4186246
1746153240000,4136682
1746153360000,4113106
1746153480000,3133141
1746153600000,3050753
1746153720000,4053170
1746153840000,2097070
1746153960000,4103791
1746154080000,4145250
1746154200000,3152119
1746154320000,4177822
1746154440000,4127179
1746154560000,4121114
1746154680000,4127507
1746154800000,4320079
1746154920000,4067334
1746155040000,2687765
1746155160000,4317152
